Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Linear SVM,18,3,3,0.9531199482702878,0.0,0.0,0.0,0.6537968464885604,0.04371683445886433
Linear SVM,19,3,4,0.9531199482702878,0.0,0.0,0.0,0.6801724137931034,0.04388283646503239
Linear SVM,20,4,0,0.9537815126050421,1.0,0.013793103448275862,0.027210884353741496,0.6619520351726476,0.04326935816288688
Linear SVM,21,4,1,0.9537665696734562,1.0,0.006944444444444444,0.013793103448275862,0.6260549715534457,0.04342812125357774
Linear SVM,22,4,2,0.953443258971872,0.0,0.0,0.0,0.6451445405222108,0.043791925132495454
Linear SVM,23,4,3,0.9531199482702878,0.0,0.0,0.0,0.6529160623216207,0.0441208627551682
Linear SVM,24,4,4,0.9531199482702878,0.0,0.0,0.0,0.644697749497029,0.0442128099579056
RBF SVM,0,0,0,0.9531351001939238,0.0,0.0,0.0,0.5997287216005426,0.04415032632432651
RBF SVM,1,0,1,0.953443258971872,0.0,0.0,0.0,0.5669082739911835,0.04437486544282692
RBF SVM,2,0,2,0.9540898803750404,1.0,0.013888888888888888,0.0273972602739726,0.6090388455597,0.043270180959245313
RBF SVM,3,0,3,0.953443258971872,1.0,0.006896551724137931,0.0136986301369863,0.5984606746830113,0.04363813044610467
RBF SVM,4,0,4,0.953443258971872,1.0,0.006896551724137931,0.0136986301369863,0.6192228512609367,0.04422127599388538
RBF SVM,5,1,0,0.9534583063994829,1.0,0.006896551724137931,0.0136986301369863,0.5868663836952327,0.04429609476299755
RBF SVM,6,1,1,0.9537665696734562,1.0,0.006944444444444444,0.013793103448275862,0.5827917184733055,0.044383643838960415
RBF SVM,7,1,2,0.9537665696734562,1.0,0.006944444444444444,0.013793103448275862,0.588252609170717,0.043852073435362085
RBF SVM,8,1,3,0.9537665696734562,1.0,0.013793103448275862,0.027210884353741496,0.5958873344874374,0.04370216603198863
RBF SVM,9,1,4,0.9531199482702878,0.0,0.0,0.0,0.5767697562345014,0.04468820643602037
RBF SVM,10,2,0,0.9534583063994829,1.0,0.006896551724137931,0.0136986301369863,0.5799277370470411,0.044259663808530546
RBF SVM,11,2,1,0.953443258971872,0.0,0.0,0.0,0.5715473230096831,0.043897649944038525
RBF SVM,12,2,2,0.953443258971872,0.0,0.0,0.0,0.6184393956520101,0.04352788873523186
RBF SVM,13,2,3,0.9531199482702878,0.0,0.0,0.0,0.6299794132784354,0.04338131463933261
RBF SVM,14,2,4,0.9531199482702878,0.0,0.0,0.0,0.5725401207130492,0.04514941174925837
RBF SVM,15,3,0,0.9537815126050421,1.0,0.013793103448275862,0.027210884353741496,0.584270530045252,0.043960359353158826
RBF SVM,16,3,1,0.953443258971872,0.0,0.0,0.0,0.5902754229305602,0.04400367009294796
RBF SVM,17,3,2,0.953443258971872,0.0,0.0,0.0,0.5823089747937154,0.04433373198315942
RBF SVM,18,3,3,0.9537665696734562,1.0,0.013793103448275862,0.027210884353741496,0.6031932812426893,0.044152928120930086
RBF SVM,19,3,4,0.9531199482702878,0.0,0.0,0.0,0.6308426519440415,0.04395930364883683
RBF SVM,20,4,0,0.9537815126050421,1.0,0.013793103448275862,0.027210884353741496,0.5899580220062909,0.043702437482248634
RBF SVM,21,4,1,0.9537665696734562,1.0,0.006944444444444444,0.013793103448275862,0.6024947251422328,0.04345027901841016
RBF SVM,22,4,2,0.9540898803750404,1.0,0.013888888888888888,0.0273972602739726,0.5620596435703252,0.04404707000598248
RBF SVM,23,4,3,0.953443258971872,1.0,0.006896551724137931,0.0136986301369863,0.6243554952510176,0.04419129119410571
RBF SVM,24,4,4,0.9531199482702878,0.0,0.0,0.0,0.6132573808075609,0.044643867872958515
Decision Tree,0,0,0,0.9091790562378798,0.09523809523809523,0.1103448275862069,0.10223642172523961,0.5294009658446464,0.09082094376212023
Decision Tree,1,0,1,0.9081797607500808,0.045454545454545456,0.04861111111111111,0.04697986577181208,0.49938185260540296,0.09182023924991917
Decision Tree,2,0,2,0.9065632072421597,0.08571428571428572,0.10416666666666667,0.09404388714733543,0.5249554933875891,0.09343679275784028
Decision Tree,3,0,3,0.9081797607500808,0.10285714285714286,0.12413793103448276,0.1125,0.5354407429934965,0.09182023924991917
Decision Tree,4,0,4,0.9072098286453282,0.0872093023255814,0.10344827586206896,0.0946372239747634,0.5250959154072896,0.09279017135467184
Decision Tree,5,1,0,0.9040077569489334,0.08695652173913043,0.1103448275862069,0.0972644376899696,0.5266881818500719,0.09599224305106659
Decision Tree,6,1,1,0.9033301002263175,0.0718232044198895,0.09027777777777778,0.08,0.5166546569458573,0.09666989977368251
Decision Tree,7,1,2,0.9030067895247332,0.07608695652173914,0.09722222222222222,0.08536585365853659,0.5197877811687578,0.09699321047526673
Decision Tree,8,1,3,0.9043000323310701,0.05847953216374269,0.06896551724137931,0.06329113924050633,0.5071761100453843,0.09569996766892984
Decision Tree,9,1,4,0.9065632072421597,0.08620689655172414,0.10344827586206896,0.09404388714733543,0.5247567023815094,0.09343679275784028
Decision Tree,10,2,0,0.9049773755656109,0.06936416184971098,0.08275862068965517,0.07547169811320754,0.5140819213994223,0.09502262443438914
Decision Tree,11,2,1,0.903976721629486,0.07262569832402235,0.09027777777777778,0.0804953560371517,0.5169937549451792,0.09602327837051407
Decision Tree,12,2,2,0.9075331393469124,0.07228915662650602,0.08333333333333333,0.07741935483870968,0.5155561207188878,0.09246686065308762
Decision Tree,13,2,3,0.9052699644358229,0.07471264367816093,0.0896551724137931,0.08150470219435736,0.5175209376315912,0.09473003556417717
Decision Tree,14,2,4,0.9013902360168121,0.06989247311827956,0.0896551724137931,0.07854984894259819,0.51548565947691,0.09860976398318784
Decision Tree,15,3,0,0.9114414996767938,0.08917197452229299,0.09655172413793103,0.09271523178807947,0.5240303551174565,0.08855850032320621
Decision Tree,16,3,1,0.9052699644358229,0.08839779005524862,0.1111111111111111,0.09846153846153846,0.5275799706115067,0.09473003556417717
Decision Tree,17,3,2,0.9088263821532493,0.07926829268292683,0.09027777777777778,0.08441558441558442,0.5195369899400926,0.09117361784675072
Decision Tree,18,3,3,0.9078564500484966,0.10674157303370786,0.1310344827586207,0.11764705882352941,0.5385498058297853,0.0921435499515034
Decision Tree,19,3,4,0.906886517943744,0.0718562874251497,0.08275862068965517,0.07692307692307693,0.5150903008468629,0.09311348205625607
Decision Tree,20,4,0,0.909825468648998,0.08641975308641975,0.09655172413793103,0.09120521172638436,0.523182610119152,0.09017453135100194
Decision Tree,21,4,1,0.9023601681215648,0.0797872340425532,0.10416666666666667,0.09036144578313253,0.5227513563919973,0.09763983187843518
Decision Tree,22,4,2,0.9055932751374071,0.07954545454545454,0.09722222222222222,0.0875,0.521144173166045,0.09440672486259295
Decision Tree,23,4,3,0.9020368574199806,0.06593406593406594,0.08275862068965517,0.07339449541284404,0.5125462031535114,0.0979631425800194
